SYMBOL	PROBEID	CHR	STRAND	CHRLOCSTART	CHRLOCEND	GENENAME
Taf4a	ILMN_2615714	2	-	-179912146	-179976646	TAF4A RNA polymerase II, TATA box binding protein (TBP)-associated factor
Ahctf1	ILMN_1238029	1	-	-179744904	-179804015	AT hook containing transcription factor 1
Tfb2m	ILMN_1215264	1	-	-179528056	-179546267	transcription factor B2, mitochondrial
Smyd3	ILMN_1231094	1	-	-178955039	-179518003	SET and MYND domain containing 3
Ppp1r3d	ILMN_1255611	2	-	-178411207	-178414472	protein phosphatase 1, regulatory subunit 3D
Sycp2	ILMN_1248966	2	-	-178345296	-178407658	synaptonemal complex protein 2
Hnrnpu	ILMN_1259775	1	-	-178328300	-178337784	heterogeneous nuclear ribonucleoprotein U
Zfp931	ILMN_2432886	2	-	-178066878	-178078425	zinc finger protein 931
Gm14326	ILMN_1250281	2	-	-177942611	-177957289	predicted gene 14326
Gm14325	ILMN_3066673	2	-	-177828991	-177840318	predicted gene 14325
Adss	ILMN_2957614	1	-	-177763178	-177796509	adenylosuccinate synthetase, non muscle
Akt3	ILMN_1259290	1	-	-177022115	-177248767	thymoma viral proto-oncogene 3
Hmga2-ps1	ILMN_2521893	1	-	-176834624	-176836133	high mobility group AT-hook 2, pseudogene 1
Cep170	ILMN_1240566	1	-	-176733653	-176807124	centrosomal protein 170
Gm14308	ILMN_3129372	2	-	-176622842	-176636318	predicted gene 14308
Gm14432	ILMN_1241572	2	-	-176621886	-176636311	predicted gene 14432
0610010B08Rik	ILMN_3129372	2	-	-176619933	-176636319	RIKEN cDNA 0610010B08 gene
Gm14430	ILMN_3129372	2	-	-176619933	-176636319	predicted gene 14430
Gm14434	ILMN_3129372	2	-	-176619933	-176636319	predicted gene 14434
Pld5	ILMN_1213763	1	-	-175962306	-176275312	phospholipase D family, member 5
Gm14431	ILMN_2432886	2	-	-175918283	-175931100	predicted gene 14431
Gm8898	ILMN_2432886	2	-	-175918283	-175931100	predicted gene 8898
Gm14288	ILMN_1247042	2	-	-175792312	-175801038	predicted gene 14288
Gm14440	ILMN_1247042	2	-	-175789357	-175801037	predicted gene 14440
Chml	ILMN_2776066	1	-	-175682238	-175688353	choroideremia-like
Opn3	ILMN_1236196	1	-	-175662428	-175692590	opsin 3
Fh1	ILMN_2771754	1	-	-175601378	-175625635	fumarate hydratase 1
Gm14391	ILMN_3129372	2	-	-175194279	-175206924	predicted gene 14391
Gm6710	ILMN_3129372	2	-	-175192980	-175206917	predicted gene 6710
Gm14393	ILMN_3129372	2	-	-175061549	-175067763	predicted gene 14393
Rgs7	ILMN_1237219	1	-	-175059076	-175492545	regulator of G protein signaling 7
Grem2	ILMN_2610565	1	-	-174833785	-174921819	gremlin 2 homolog, cysteine knot superfamily (Xenopus laevis)
Slmo2	ILMN_2754997	2	-	-174465091	-174472941	slowmo homolog 2 (Drosophila)
Atp5e	ILMN_2604794	2	-	-174461075	-174464101	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit
Ctsz	ILMN_2666007	2	-	-174427494	-174438992	cathepsin Z
Nespos	ILMN_2493616	2	-	-174281237	-174295436	neuroendocrine secretory protein opposite strand
Olfr419	ILMN_2751611	1	-	-174249889	-174250976	olfactory receptor 419
Ifi205	ILMN_1233449	1	-	-174011998	-174031755	interferon activated gene 205
Ifi202b	ILMN_2608350	1	-	-173962569	-173982844	interferon activated gene 202B
Ifi203	ILMN_1241443	1	-	-173920403	-173942492	interferon activated gene 203
Mnda	ILMN_1257771	1	-	-173896355	-173912922	myeloid cell nuclear differentiation antigen
Mndal	ILMN_1224389	1	-	-173857220	-173880187	myeloid nuclear differentiation antigen like
Ifi204	ILMN_2495068	1	-	-173747294	-173766919	interferon activated gene 204
AI607873	ILMN_1254577	1	-	-173723428	-173741809	expressed sequence AI607873
Pydc4	ILMN_2429336	1	-	-173591957	-173599274	pyrin domain containing 4
Ppp4r1l-ps	ILMN_1236409	2	-	-173579320	-173659539	protein phosphatase 4, regulatory subunit 1-like, pseudogene
Ankrd60	ILMN_2610714	2	-	-173572390	-173578341	ankyrin repeat domain 60
BC094916	ILMN_3072407	1	-	-173521311	-173535957	cDNA sequence BC094916
Cadm3	ILMN_1254663	1	-	-173334254	-173367695	cell adhesion molecule 3
Darc	ILMN_2656748	1	-	-173331886	-173333503	Duffy blood group, chemokine receptor
Mptx2	ILMN_1235443	1	-	-173274461	-173277756	mucosal pentraxin 2
Pmepa1	ILMN_1213989	2	-	-173224465	-173276533	prostate transmembrane protein, androgen induced 1
Fcer1a	ILMN_2771342	1	-	-173221271	-173227229	Fc receptor, IgE, high affinity I, alpha polypeptide
Zbp1	ILMN_1218547	2	-	-173213736	-173218922	Z-DNA binding protein 1
Olfr1406	ILMN_2769151	1	-	-173183442	-173184504	olfactory receptor 1406
Olfr1408	ILMN_2775965	1	-	-173130283	-173131215	olfactory receptor 1408
Ctcfl	ILMN_2535973	2	-	-173093609	-173119525	CCCTC-binding factor (zinc finger protein)-like
Apcs	ILMN_2896170	1	-	-172893961	-172895054	serum amyloid P-component
Bmp7	ILMN_2589662	2	-	-172869687	-172940293	bone morphogenetic protein 7
Dusp23	ILMN_1252812	1	-	-172630769	-172632974	dual specificity phosphatase 23
Slamf8	ILMN_2598622	1	-	-172581377	-172590568	SLAM family member 8
Gcnt7	ILMN_3161657	2	-	-172450313	-172458596	glucosaminyl (N-acetyl) transferase family member 7
Aurka	ILMN_2617228	2	-	-172356196	-172370506	aurora kinase A
Kcnj9	ILMN_1242415	1	-	-172321033	-172329263	potassium inwardly-rectifying channel, subfamily J, member 9
Atp1a2	ILMN_2722716	1	-	-172271709	-172298064	ATPase, Na+/K+ transporting, alpha 2 polypeptide
Atp1a4	ILMN_1225050	1	-	-172223508	-172258424	ATPase, Na+/K+ transporting, alpha 4 polypeptide
Casq1	ILMN_2773330	1	-	-172209894	-172219895	calsequestrin 1
Pea15a	ILMN_1260506	1	-	-172196729	-172206781	phosphoprotein enriched in astrocytes 15A
Ncstn	ILMN_1212949	1	-	-172066013	-172082749	nicastrin
Nhlh1	ILMN_2656711	1	-	-172052292	-172057596	nescient helix loop helix 1
Cbln4	ILMN_2639849	2	-	-172036336	-172043466	cerebellin 4 precursor protein
Vangl2	ILMN_2591811	1	-	-172004371	-172027268	vang-like 2 (van gogh, Drosophila)
Slamf7	ILMN_2638491	1	-	-171632403	-171653037	SLAM family member 7
Ly9	ILMN_1213596	1	-	-171588613	-171607360	lymphocyte antigen 9
Itln1	ILMN_2772117	1	-	-171518124	-171535294	intelectin 1 (galactofuranose binding)
Klhdc9	ILMN_1217812	1	-	-171358449	-171360798	kelch domain containing 9
Nit1	ILMN_2732145	1	-	-171342237	-171345645	nitrilase 1
Ufc1	ILMN_2744693	1	-	-171288564	-171294982	ubiquitin-fold modifier conjugating enzyme 1
Usp21	ILMN_2495939	1	-	-171281953	-171287961	ubiquitin specific peptidase 21
Ppox	ILMN_2706938	1	-	-171276992	-171281186	protoporphyrinogen oxidase
Ndufs2	ILMN_1224781	1	-	-171234860	-171247112	NADH dehydrogenase (ubiquinone) Fe-S protein 2
Fcer1g	ILMN_2748875	1	-	-171229572	-171234349	Fc receptor, IgE, high affinity I, gamma polypeptide
Tomm40l	ILMN_1221049	1	-	-171217803	-171222514	translocase of outer mitochondrial membrane 40 homolog-like (yeast)
Pcp4l1	ILMN_1218127	1	-	-171173264	-171196268	Purkinje cell protein 4-like 1
Sdhc	ILMN_1256125	1	-	-171129157	-171150603	succinate dehydrogenase complex, subunit C, integral membrane protein
Fcgr3	ILMN_2687403	1	-	-171051169	-171059403	Fc receptor, IgG, low affinity III
Fcgr2b	ILMN_1228657	1	-	-170960559	-170976071	Fc receptor, IgG, low affinity IIb
Fcrla	ILMN_1229840	1	-	-170917594	-170927583	Fc receptor-like A
Dusp12	ILMN_2775813	1	-	-170874188	-170885540	dual specificity phosphatase 12
Atf6	ILMN_2451709	1	-	-170704457	-170867771	activating transcription factor 6
4930470P17Rik	ILMN_2758904	2	-	-170579418	-170602017	RIKEN cDNA 4930470P17 gene
Cyp24a1	ILMN_2639900	2	-	-170482965	-170497138	cytochrome P450, family 24, subfamily a, polypeptide 1
Bcas1	ILMN_2662264	2	-	-170346991	-170427845	breast carcinoma amplified sequence 1
Nos1ap	ILMN_1254448	1	-	-170327214	-170557110	nitric oxide synthase 1 (neuronal) adaptor protein
Uhmk1	ILMN_1221869	1	-	-170199256	-170215393	U2AF homology motif (UHM) kinase 1
Uap1	ILMN_2502542	1	-	-170142003	-170174946	UDP-N-acetylglucosamine pyrophosphorylase 1
Zfp217	ILMN_1233739	2	-	-170108643	-170142675	zinc finger protein 217
Ddr2	ILMN_1230373	1	-	-169972307	-170088944	discoidin domain receptor family, member 2
Hsd17b7	ILMN_1229529	1	-	-169949537	-169969205	hydroxysteroid (17-beta) dehydrogenase 7
4933400A11Rik	ILMN_1250324	X	-	-169776378	-169779635	capping protein (actin filament) muscle Z-line, alpha 1 pseudogene
Rgs4	ILMN_1244081	1	-	-169741477	-169747642	regulator of G-protein signaling 4
Nuf2	ILMN_2755241	1	-	-169497934	-169531464	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)
Hccs	ILMN_2720828	X	-	-169311531	-169320343	holocytochrome c synthetase
Amelx	ILMN_2718293	X	-	-169180021	-169187209	amelogenin, X-linked
Zfp64	ILMN_1214053	2	-	-168925361	-168955587	zinc finger protein 64
Sall4	ILMN_2595478	2	-	-168748332	-168767201	sal-like 4 (Drosophila)
Atp9a	ILMN_1255220	2	-	-168634438	-168741800	ATPase, class II, type 9A
Nfatc2	ILMN_2464014	2	-	-168518203	-168601655	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2
Kcng1	ILMN_2990269	2	-	-168261698	-168269331	potassium voltage-gated channel, subfamily G, member 1
Dpm1	ILMN_2590053	2	-	-168209048	-168230379	dolichol-phosphate (beta-D) mannosyltransferase 1
Adnp	ILMN_2492292	2	-	-168180965	-168207062	activity-dependent neuroprotective protein
Pbx1	ILMN_1256907	1	-	-168153869	-168432258	pre B cell leukemia homeobox 1
Fam65c	ILMN_2527817	2	-	-167980786	-168010593	family with sequence similarity 65, member C
Tmem189	ILMN_1243662	2	-	-167643225	-167661544	transmembrane protein 189
Ube2v1	ILMN_1228052	2	-	-167607639	-167632005	ubiquitin-conjugating enzyme E2 variant 1
Spata2	ILMN_2640415	2	-	-167481136	-167492874	spermatogenesis associated 2
Frmpd4	ILMN_1240854	X	-	-167471309	-168577233	FERM and PDZ domain containing 4
Lrrc52	ILMN_2526954	1	-	-167445675	-167466780	leucine rich repeat containing 52
Mgst3	ILMN_1238479	1	-	-167372384	-167393797	microsomal glutathione S-transferase 3
Prps2	ILMN_1234614	X	-	-167346333	-167382699	phosphoribosyl pyrophosphate synthetase 2
Tlr7	ILMN_1245354	X	-	-167304931	-167330528	toll-like receptor 7
B4galt5	ILMN_1220235	2	-	-167298445	-167349178	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5
Tlr8	ILMN_2460572	X	-	-167242732	-167263788	toll-like receptor 8
Uck2	ILMN_1242013	1	-	-167226084	-167285127	uridine-cytidine kinase 2
Tmsb4x	ILMN_2521356	X	-	-167207094	-167209218	thymosin, beta 4, X chromosome
Ptgis	ILMN_2724942	2	-	-167203196	-167240537	prostaglandin I2 (prostacyclin) synthase
Kcnb1	ILMN_2674184	2	-	-167095969	-167188818	potassium voltage gated channel, Shab-related subfamily, member 1
Gm8817	ILMN_1243323	X	-	-167063449	-167070370	predicted gene 8817
Znfx1	ILMN_1219468	2	-	-167035797	-167063015	zinc finger, NFX1-type containing 1
Stau1	ILMN_2668197	2	-	-166948142	-166996278	staufen (RNA binding protein) homolog 1 (Drosophila)
Fmo9	ILMN_2864559	1	-	-166662055	-166681845	flavin containing monooxygenase 9
Gm4847	ILMN_1243033	1	-	-166628971	-166647693	predicted gene 4847
Prex1	ILMN_1251066	2	-	-166566345	-166713832	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1
Egfl6	ILMN_2679800	X	-	-166523007	-166585716	EGF-like-domain, multiple 6
Tceanc	ILMN_1255742	X	-	-166499815	-166510478	transcription elongation factor A (SII) N-terminal and central domain containing
Gm4846	ILMN_1259173	1	-	-166483613	-166497588	predicted gene 4846
Rab9	ILMN_1258125	X	-	-166457252	-166479867	RAB9, member RAS oncogene family
Pogk	ILMN_1228441	1	-	-166393612	-166409828	pogo transposable element with KRAB domain
Ofd1	ILMN_2708729	X	-	-166390033	-166440704	oral-facial-digital syndrome 1 gene homolog (human)
Mael	ILMN_2671385	1	-	-166201385	-166238744	maelstrom homolog (Drosophila)
Dusp27	ILMN_2644809	1	-	-166098148	-166127898	dual specificity phosphatase 27 (putative)
Sulf2	ILMN_1239293	2	-	-166073899	-166155683	sulfatase 2
Pou2f1	ILMN_2609097	1	-	-165865154	-166002634	POU domain, class 2, transcription factor 1
Zmynd8	ILMN_2498357	2	-	-165827129	-165884751	zinc finger, MYND-type containing 8
Rcsd1	ILMN_1250704	1	-	-165648945	-165708094	RCSD domain containing 1
Mpzl1	ILMN_1223687	1	-	-165592181	-165634541	myelin protein zero-like 1
2810408M09Rik	ILMN_1234585	2	-	-165490112	-165493314	RIKEN cDNA 2810408M09 gene
Slc13a3	ILMN_2722579	2	-	-165405295	-165473197	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3
Zfp334	ILMN_2421371	2	-	-165377436	-165388259	zinc finger protein 334
Zfp663	ILMN_1219131	2	-	-165351297	-165362119	zinc finger protein 663
Dcaf6	ILMN_2608666	1	-	-165329501	-165460463	DDB1 and CUL4 associated factor 6
Elmo2	ILMN_2587785	2	-	-165291112	-165316893	engulfment and cell motility 2
Slc35c2	ILMN_2729374	2	-	-165276522	-165287838	solute carrier family 35, member C2
Tiprl	ILMN_2622066	1	-	-165212286	-165236958	TIP41, TOR signalling pathway regulator-like (S. cerevisiae)
Sft2d2	ILMN_1247581	1	-	-165174341	-165194433	SFT2 domain containing 2
Tbx19	ILMN_2647782	1	-	-165137853	-165160773	T-box 19
Glra2	ILMN_2729364	X	-	-165129017	-165326981	glycine receptor, alpha 2 subunit
Cdh22	ILMN_2666136	2	-	-165111507	-165234737	cadherin 22
4930568G15Rik	ILMN_1227170	1	-	-165066617	-165091930	RIKEN cDNA 4930568G15 gene
Ncoa5	ILMN_2794460	2	-	-165000357	-165034779	nuclear receptor coactivator 5
Mospd2	ILMN_2563716	X	-	-164938209	-164980335	motile sperm domain containing 2
Xcl1	ILMN_2948552	1	-	-164931648	-164935510	chemokine (C motif) ligand 1
Zfp335	ILMN_1243052	2	-	-164891892	-164911750	zinc finger protein 335
Pltp	ILMN_2589401	2	-	-164839518	-164857708	phospholipid transfer protein
Neurl2	ILMN_1256950	2	-	-164830730	-164833596	neuralized-like 2 (Drosophila)
Spata25	ILMN_2619416	2	-	-164827382	-164828534	spermatogenesis associated 25
Acot8	ILMN_1250358	2	-	-164792768	-164804881	acyl-CoA thioesterase 8
Tnnc2	ILMN_2882658	2	-	-164777162	-164779734	troponin C2, fast
Wfdc3	ILMN_1229131	2	-	-164731226	-164743267	WAP four-disulfide core domain 3
Wfdc16	ILMN_1217779	2	-	-164634708	-164638802	WAP four-disulfide core domain 16
Wfdc8	ILMN_2527873	2	-	-164596458	-164613626	WAP four-disulfide core domain 8
Eppin	ILMN_1241630	2	-	-164588343	-164593571	epididymal peptidase inhibitor
Wfdc6a	ILMN_2883709	2	-	-164579519	-164585447	WAP four-disulfide core domain 6A
Trp53tg5	ILMN_2607572	2	-	-164470304	-164473724	transformation related protein 53 target 5
Atp1b1	ILMN_2526631	1	-	-164437267	-164458355	ATPase, Na+/K+ transporting, beta 1 polypeptide
Sdc4	ILMN_2728729	2	-	-164424247	-164443188	syndecan 4
Matn4	ILMN_1215854	2	-	-164389393	-164405160	matrilin 4
Slpi	ILMN_1256817	2	-	-164354070	-164356507	secretory leukocyte peptidase inhibitor
Blzf1	ILMN_1246343	1	-	-164289800	-164307484	basic leucine zipper nuclear factor 1
Svs4	ILMN_2620984	2	-	-164275956	-164278307	seminal vesicle secretory protein 4
Svs3b	ILMN_1258886	2	-	-164254363	-164256643	seminal vesicle secretory protein 3B
Svs2	ILMN_1254247	2	-	-164235929	-164238341	seminal vesicle secretory protein 2
Wfdc15b	ILMN_1259467	2	-	-164214454	-164221663	WAP four-disulfide core domain 15B
Bmx	ILMN_2727359	X	-	-164192842	-164258193	BMX non-receptor tyrosine kinase
Wfdc12	ILMN_2948296	2	-	-164189231	-164190558	WAP four-disulfide core domain 12
Wfdc5	ILMN_1225607	2	-	-164176325	-164182742	WAP four-disulfide core domain 5
Kcns1	ILMN_2715619	2	-	-164163619	-164171113	K+ voltage-gated channel, subfamily S, 1
Siah1b	ILMN_1217391	X	-	-164070703	-164076049	seven in absentia 1B
Tomm34	ILMN_2441635	2	-	-164053541	-164071102	translocase of outer mitochondrial membrane 34
Car5b	ILMN_2466180	X	-	-163976822	-164028010	carbonic anhydrase 5b, mitochondrial
BC055324	ILMN_2934549	1	-	-163954008	-163994781	cDNA sequence BC055324
Zrsr2	ILMN_1258196	X	-	-163950386	-163958666	zinc finger (CCCH type), RNA binding motif and serine/arginine rich 2
Rims4	ILMN_1231036	2	-	-163863881	-163918683	regulating synaptic membrane exocytosis 4
Rnf138rt1	ILMN_2967255	X	-	-163760140	-163761329	ring finger protein 138, retrogene 1
Ada	ILMN_1228696	2	-	-163726571	-163750239	adenosine deaminase
Serinc3	ILMN_2787844	2	-	-163623273	-163645143	serine incorporator 3
Grpr	ILMN_2735717	X	-	-163513904	-163549647	gastrin releasing peptide receptor
0610008F07Rik	ILMN_1236537	2	-	-163493804	-163541721	RIKEN cDNA 0610008F07 gene
Oser1	ILMN_2684413	2	-	-163405822	-163419470	oxidative stress responsive serine rich 1
Gorab	ILMN_2743991	1	-	-163384909	-163403641	golgin, RAB6-interacting
Jph2	ILMN_2438153	2	-	-163336242	-163397993	junctophilin 2
Prrx1	ILMN_1227686	1	-	-163255277	-163313650	paired related homeobox 1
Gtsf1l	ILMN_2732954	2	-	-163087031	-163089601	gametocyte specific factor 1-like
Mroh9	ILMN_2758849	1	-	-163024302	-163085670	maestro heat-like repeat family member 9
S100g	ILMN_1249485	X	-	-162961992	-162964599	S100 calcium binding protein G
Fmo3	ILMN_2731963	1	-	-162953800	-162984491	flavin containing monooxygenase 3
Fmo6	ILMN_2526625	1	-	-162916551	-162937225	flavin containing monooxygenase 6
Fmo2	ILMN_2604975	1	-	-162875047	-162898712	flavin containing monooxygenase 2
Syap1	ILMN_2759749	X	-	-162856843	-162888462	synapse associated protein 1
Fmo1	ILMN_2838308	1	-	-162829561	-162866548	flavin containing monooxygenase 1
Fmo4	ILMN_2591271	1	-	-162793883	-162812549	flavin containing monooxygenase 4
Txlng	ILMN_1226041	X	-	-162778919	-162829399	taxilin gamma
Prrc2c	ILMN_1221890	1	-	-162671785	-162740556	proline-rich coiled-coil 2C
Mettl13	ILMN_1218104	1	-	-162533672	-162548345	methyltransferase like 13
Reps2	ILMN_2763434	X	-	-162411954	-162643601	RALBP1 associated Eps domain containing protein 2
Dnm3	ILMN_1214059	1	-	-161990223	-162478034	dynamin 3
4930558K02Rik	ILMN_1235918	1	-	-161942089	-161979636	RIKEN cDNA 4930558K02 gene
Nhs	ILMN_3075461	X	-	-161836268	-162159790	Nance-Horan syndrome (human)
Suco	ILMN_1242378	1	-	-161816112	-161876661	SUN domain containing ossification factor
Fasl	ILMN_1248413	1	-	-161780692	-161788495	Fas ligand (TNF superfamily, member 6)
